run_at,text_variant,dataset_size,batch_size,change_ratio,run_index,full_reload_time_sec,incremental_time_sec,incremental_hashing_sec,incremental_load_sec,peak_memory_mb,incremental_to_full_ratio,speedup_vs_full,recommended_strategy,break_even_change_ratio
2026-06-10T14:07:54.325055+00:00,medium,50000,5000,0.1,0,6.548468000000867,6.120367300001817,0.23489430000336142,0.1498946999963664,38.808589935302734,0.9346258239333242,1.0699468968143337,incremental_load,
2026-06-10T14:08:07.287293+00:00,medium,50000,5000,0.2,0,6.548468000000867,6.248820299999352,0.2259985000055167,0.3019689000029757,39.588457107543945,0.9542415569563026,1.0479526831651,incremental_load,
2026-06-10T14:08:20.581442+00:00,medium,50000,5000,0.3,0,6.548468000000867,6.553043099997012,0.2389103000095929,0.4557518000001437,40.088727951049805,1.0006986519589232,0.9993018358148525,full_reload,0.3
2026-06-10T14:08:34.118159+00:00,medium,50000,5000,0.4,0,6.548468000000867,6.704324999998789,0.2315273000021989,0.6303245999988576,42.085269927978516,1.023800528611868,0.9767527678031792,full_reload,0.3
2026-06-10T14:08:47.816277+00:00,medium,50000,5000,0.45,0,6.548468000000867,6.812808300001052,0.2449919000027876,0.6875133000030473,42.043697357177734,1.0403667392129199,0.9611995100463718,full_reload,0.3
2026-06-10T14:09:01.470663+00:00,medium,50000,5000,0.5,0,6.548468000000867,6.812055300000793,0.24029099998733727,0.7247757999975875,42.57827377319336,1.0402517504857458,0.9613057603921836,full_reload,0.3
2026-06-10T14:09:14.935482+00:00,medium,50000,5000,0.55,0,6.548468000000867,6.780215499999031,0.2281600999958755,0.8157377000061388,42.829959869384766,1.0353895750881172,0.9658200392010848,full_reload,0.3
2026-06-10T14:09:28.706420+00:00,medium,50000,5000,0.6,0,6.548468000000867,7.018522000002122,0.236524299991288,0.9100652000051923,43.078067779541016,1.071780758492092,0.9330266400816136,full_reload,0.3
2026-06-10T14:09:42.853625+00:00,medium,50000,5000,0.7,0,6.548468000000867,7.178664699997171,0.2392621999970288,1.038675300002069,43.284603118896484,1.09623574552036,0.9122125456010569,full_reload,0.3
2026-06-10T14:09:56.939777+00:00,medium,50000,5000,0.75,0,6.548468000000867,7.244291400002112,0.2429082999988168,1.109973099999479,43.53266525268555,1.106257433036422,0.9039487285117986,full_reload,0.3
